#Parameters = {erbase1=3.5; erbase11=0.03; a=52.07; b=12.07; c=38.862; depth=3; width=3; wx=165.1; wth=12; wy=82.55; wz=558.8; wx2=250; wy2=220; er1=8; er11=0.3}
#"Frequency / GHz"	"S5,5 [Real/Imaginary Part] [Re]"	"S5,5 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
1.0000000000000	-0.22915182000000	-0.035246901000000
1.0007000000000	-0.22760620600758	-0.040142476291228
1.0014000000000	-0.22599496984453	-0.044975703959384
1.0021000000000	-0.22436387196229	-0.049802367306833
1.0028000000000	-0.22237335815643	-0.054616023401615
1.0035000000000	-0.22062139000000	-0.059233300000000
1.0042000000000	-0.21861085534111	-0.063994283483834
1.0049000000000	-0.21646825132178	-0.068400263216195
1.0056000000000	-0.21434756064840	-0.072955077160905
1.0063000000000	-0.21212756111157	-0.077284371302855
1.0070000000000	-0.20980746000000	-0.081726997999998
1.0077000000000	-0.20752899350257	-0.085966711589471
1.0084000000000	-0.20492907893607	-0.090052768553034
1.0091000000000	-0.20258761067725	-0.094489325060389
1.0098000000000	-0.20000629539483	-0.098290413833586
1.0105000000000	-0.19745007000000	-0.10218912000000
1.0112000000000	-0.19463903558193	-0.10611655304955
1.0119000000000	-0.19185117882076	-0.11004732537338
1.0126000000000	-0.18894800899323	-0.11355219824587
1.0133000000000	-0.18603750331526	-0.11733403970178
1.0140000000000	-0.18313928000000	-0.12075140000000
1.0147000000000	-0.18020886868574	-0.12433211422687
1.0154000000000	-0.17705282987204	-0.12774987762410
1.0161000000000	-0.17401701649329	-0.13088562841119
1.0168000000000	-0.17084104629264	-0.13431132069417
1.0175000000000	-0.16762272000000	-0.13743050000000
1.0182000000000	-0.16426720869845	-0.14060232263474
1.0189000000000	-0.16102312904830	-0.14349796314952
1.0196000000000	-0.15772545527283	-0.14652728021529
1.0203000000000	-0.15420455097649	-0.14938588938606
1.0210000000000	-0.15081435000000	-0.15210824000000
1.0217000000000	-0.14751961154203	-0.15475427818449
1.0224000000000	-0.14408416119526	-0.15732186207538
1.0231000000000	-0.14037296879141	-0.15996273769267
1.0238000000000	-0.13689604785064	-0.16225637902319
1.0245000000000	-0.13343661000000	-0.16460499000000
1.0252000000000	-0.12981124722846	-0.16688330560379
1.0259000000000	-0.12632642358045	-0.16909023645155
1.0266000000000	-0.12260570135559	-0.17118703893297
1.0273000000000	-0.11886823118650	-0.17316548118266
1.0280000000000	-0.11527593000000	-0.17531286000000
1.0287000000000	-0.11150723090935	-0.17708441670215
1.0294000000000	-0.10769583802302	-0.17888571325803
1.0301000000000	-0.10404413700640	-0.18063823031905
1.0308000000000	-0.10031533185867	-0.18230318103650
1.0315000000000	-0.096462868000000	-0.18383120000000
1.0322000000000	-0.092769494936094	-0.18551195914503
1.0329000000000	-0.088903923327695	-0.18694663910804
1.0336000000000	-0.085210562367381	-0.18815468735765
1.0343000000000	-0.081354078763956	-0.18943491894792
1.0350000000000	-0.077550948000001	-0.19060853000000
1.0357000000000	-0.073775909841790	-0.19172571542275
1.0364000000000	-0.069892248327877	-0.19281733951844
1.0371000000000	-0.066115420985494	-0.19382599318472
1.0378000000000	-0.062300741102785	-0.19469453013975
1.0385000000000	-0.058580603000000	-0.19530571000000
1.0392000000000	-0.054668063237578	-0.19627460960451
1.0399000000000	-0.050844010484652	-0.19704047237049
1.0406000000000	-0.046996043181015	-0.19759324792707
1.0413000000000	-0.043296974636655	-0.19808250838657
1.0420000000000	-0.039241236000000	-0.19854903000000
1.0427000000000	-0.035608755931348	-0.19891033645975
1.0434000000000	-0.031759918868676	-0.19924682727904
1.0441000000000	-0.027933571371779	-0.19958571329877
1.0448000000000	-0.024264908891139	-0.19975067671893
1.0455000000000	-0.020403447000000	-0.19977757000000
1.0462000000000	-0.016706368648822	-0.19993019536615
1.0469000000000	-0.012963655842854	-0.19999693021021
1.0476000000000	-0.0092540844185621	-0.19996759390971
1.0483000000000	-0.0055734975211868	-0.19956291702254
1.0490000000000	-0.0018858806000011	-0.19945444000000
1.0497000000000	0.0016972780460496	-0.19915888650533
1.0504000000000	0.0052946251721069	-0.19884402992945
1.0511000000000	0.0090289971332396	-0.19845004340184
1.0518000000000	0.012540392771457	-0.19797089901423
1.0525000000000	0.016129894000000	-0.19736458000000
1.0532000000000	0.019596877190111	-0.19683678842190
1.0539000000000	0.023173374045681	-0.19619915961255
1.0546000000000	0.026666312979513	-0.19545908894849
1.0553000000000	0.030212251111735	-0.19475825456408
1.0560000000000	0.033690795000000	-0.19392392000000
1.0567000000000	0.037078181120060	-0.19296478205632
1.0574000000000	0.040528268121027	-0.19200211482734
1.0581000000000	0.043933184978494	-0.19103572106523
1.0588000000000	0.047095557187266	-0.19007237549859
1.0595000000000	0.050416472999999	-0.18876700000000
1.0602000000000	0.053708333354238	-0.18772007396098
1.0609000000000	0.057060868518262	-0.18647002980972
1.0616000000000	0.060329209111904	-0.18512862593034
1.0623000000000	0.063490211553350	-0.18387406068565
1.0630000000000	0.066490575999999	-0.18242326000000
1.0637000000000	0.069901591030659	-0.18109220551419
1.0644000000000	0.072909155169095	-0.17956453222274
1.0651000000000	0.075977665748283	-0.17805417110910
1.0658000000000	0.078853302416173	-0.17646108053611
1.0665000000000	0.081890672000000	-0.17480692000000
1.0672000000000	0.084791439985395	-0.17316099253440
1.0679000000000	0.087664549730391	-0.17151723081960
1.0686000000000	0.090502460006805	-0.16977743090966
1.0693000000000	0.093274280722247	-0.16792500903695
1.0700000000000	0.096227333000000	-0.16606429000000
