#Parameters = {rdisk=19.1389; hdisk=2.921; rin=18.3515; hcup=25.5143; halcohol=17.78; wx=165.1; wth=12; wy=82.55; wz=558.8; wx2=250; wy2=220; erbase1=3.5; erbase11=0.03; a=52.07; b=12.7; c=38.862; depth=4; delth=2; er1=8; er11=0.3}
#"Frequency / GHz"	"S5,5 [Real/Imaginary Part] [Re]"	"S5,5 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
1.0000000000000	-0.22504510000000	-0.040269535000000
1.0007000000000	-0.22341936473128	-0.045200453842005
1.0014000000000	-0.22171253347996	-0.049857909035212
1.0021000000000	-0.21995863390519	-0.054551021020593
1.0028000000000	-0.21797701351337	-0.059351083343065
1.0035000000000	-0.21612015000000	-0.063830279000000
1.0042000000000	-0.21395547057915	-0.068452884636959
1.0049000000000	-0.21178642078484	-0.072782519546841
1.0056000000000	-0.20944327509054	-0.077255330207525
1.0063000000000	-0.20723337769564	-0.081417285067793
1.0070000000000	-0.20492615000000	-0.085761948999998
1.0077000000000	-0.20242874156266	-0.089877811794679
1.0084000000000	-0.19973875099682	-0.093951712071534
1.0091000000000	-0.19736382913495	-0.098159426758462
1.0098000000000	-0.19473083156060	-0.10197689560152
1.0105000000000	-0.19192423000000	-0.10567155000000
1.0112000000000	-0.18915493423402	-0.10952707445946
1.0119000000000	-0.18635811892509	-0.11332967371692
1.0126000000000	-0.18343838161399	-0.11678981834332
1.0133000000000	-0.18041058062651	-0.12032515785699
1.0140000000000	-0.17745455000000	-0.12370533000000
1.0147000000000	-0.17446193554644	-0.12719986422868
1.0154000000000	-0.17122578994834	-0.13050852278138
1.0161000000000	-0.16816099945881	-0.13352355451327
1.0168000000000	-0.16493802082897	-0.13686399308507
1.0175000000000	-0.16168110000000	-0.13993080000000
1.0182000000000	-0.15830242991174	-0.14281181327281
1.0189000000000	-0.15508408054511	-0.14573667509977
1.0196000000000	-0.15174494973965	-0.14853880076557
1.0203000000000	-0.14818597681187	-0.15130409897769
1.0210000000000	-0.14483264000000	-0.15396196000000
1.0217000000000	-0.14138158255708	-0.15652438131021
1.0224000000000	-0.13791180126421	-0.15897475703073
1.0231000000000	-0.13416334415117	-0.16148750309799
1.0238000000000	-0.13070948715647	-0.16368504585441
1.0245000000000	-0.12718502000000	-0.16588603000000
1.0252000000000	-0.12356064332771	-0.16805060195820
1.0259000000000	-0.12005770910928	-0.17026688088054
1.0266000000000	-0.11623551714847	-0.17206747677379
1.0273000000000	-0.11254987904292	-0.17403225308317
1.0280000000000	-0.10889092000000	-0.17602296000000
1.0287000000000	-0.10519906613442	-0.17772297925991
1.0294000000000	-0.10133614373010	-0.17940971826774
1.0301000000000	-0.097703406875148	-0.18108377256107
1.0308000000000	-0.093893414745987	-0.18260334959823
1.0315000000000	-0.090076678000000	-0.18397769000000
1.0322000000000	-0.086434408816520	-0.18554363170027
1.0329000000000	-0.082579352036853	-0.18690750288770
1.0336000000000	-0.078879385381484	-0.18802869319339
1.0343000000000	-0.074997361972833	-0.18921087919381
1.0350000000000	-0.071283378000001	-0.19027762000000
1.0357000000000	-0.067509597944539	-0.19127100051528
1.0364000000000	-0.063574567939834	-0.19222019089359
1.0371000000000	-0.059764716629726	-0.19318156029053
1.0378000000000	-0.056011801609042	-0.19389922357459
